registro;data;hora;turno;pecas_produzidas
122;08/08/2026;09:00;Manhã;44
123;08/08/2026;10:00;Manhã;73
124;08/08/2026;11:00;Manhã;50
125;08/08/2026;12:00;Manhã;83
126;08/08/2026;13:00;Manhã;79
127;08/08/2026;14:00;Tarde;79
128;08/08/2026;15:00;Tarde;33
129;08/08/2026;16:00;Tarde;-100
130;08/08/2026;17:00;Tarde;-500
131;08/08/2026;18:00;Tarde;32
132;08/08/2026;19:00;Tarde;81
133;08/08/2026;20:00;Tarde;50
134;08/08/2026;21:00;Tarde;55
135;08/08/2026;22:00;Noite;47
136;08/08/2026;23:00;Noite;34
137;09/08/2026;00:00;Noite;43
138;09/08/2026;01:00;Noite;88
139;09/08/2026;02:00;Noite;90
140;09/08/2026;03:00;Noite;66
141;09/08/2026;04:00;Noite;86
142;09/08/2026;05:00;Noite;75
143;09/08/2026;06:00;Manhã;50
144;09/08/2026;07:00;Manhã;
145;09/08/2026;08:00;Manhã;71
146;09/08/2026;09:00;Manhã;61
147;09/08/2026;10:00;Manhã;55
148;09/08/2026;11:00;Manhã;86
149;09/08/2026;12:00;Manhã;88
150;09/08/2026;13:00;Manhã;
151;09/08/2026;14:00;Tarde;59
152;09/08/2026;15:00;Tarde;39
153;09/08/2026;16:00;Tarde;
154;09/08/2026;17:00;Tarde;38
155;09/08/2026;18:00;Tarde;45
156;09/08/2026;19:00;Tarde;77
157;09/08/2026;20:00;Tarde;65
158;09/08/2026;21:00;Tarde;64
159;09/08/2026;22:00;Noite;46
160;09/08/2026;23:00;Noite;77
161;10/08/2026;00:00;Noite;-200
162;10/08/2026;01:00;Noite;57
163;10/08/2026;02:00;Noite;87
164;10/08/2026;03:00;Noite;-300
165;10/08/2026;04:00;Noite;-500
166;10/08/2026;05:00;Noite;53
167;10/08/2026;06:00;Manhã;44
168;10/08/2026;07:00;Manhã;38
169;10/08/2026;08:00;Manhã;62
170;10/08/2026;09:00;Manhã;61
171;10/08/2026;10:00;Manhã;
172;10/08/2026;11:00;Manhã;78
173;10/08/2026;12:00;Manhã;
174;10/08/2026;13:00;Manhã;85
175;10/08/2026;14:00;Tarde;37
176;10/08/2026;15:00;Tarde;39
177;10/08/2026;16:00;Tarde;70
178;10/08/2026;17:00;Tarde;40
179;10/08/2026;18:00;Tarde;80
180;10/08/2026;19:00;Tarde;73
181;10/08/2026;20:00;Tarde;57
182;10/08/2026;21:00;Tarde;68
183;10/08/2026;22:00;Noite;34
184;10/08/2026;23:00;Noite;54
185;11/08/2026;00:00;Noite;-500
186;11/08/2026;01:00;Noite;68
187;11/08/2026;02:00;Noite;59
188;11/08/2026;03:00;Noite;63
189;11/08/2026;04:00;Noite;46
190;11/08/2026;05:00;Noite;65
191;11/08/2026;06:00;Manhã;85
192;11/08/2026;07:00;Manhã;90
193;11/08/2026;08:00;Manhã;30
194;11/08/2026;09:00;Manhã;73
195;11/08/2026;10:00;Manhã;76
196;11/08/2026;11:00;Manhã;-50
197;11/08/2026;12:00;Manhã;-100
198;11/08/2026;13:00;Manhã;86
199;11/08/2026;14:00;Tarde;64
200;11/08/2026;15:00;Tarde;78
