id_registro,equipamento,situacao,temperatura_c,vibracao_mm_s,producao_pecas_h
118,  Motor 02,Operando,66.99,2.77,269
119,  Esteira 01  ,operando,68.98,1.68,373
120, Motor 01,Ligado,72.19,1.92,241
121,  Motor 03,Manutenção,79.8,4.7,14
122,Esteira 02 ,OPERANDO,52.82,1.51,363
123, Motor 02,Em operação,68.24,3.24,259
124,  Robô 02  ,Manut.,73.8,2.84,22
125,Esteira 01,Fora de operação,63.42,1.79,0
126,  Motor 02  ,MANUTENÇÃO,63.62,4.54,25
127,Motor 02  ,MANUTENÇÃO,75.35,3.41,21
128,Bomba 01,Desligado,66.33,2.97,0
129,  Bomba 02,operando,60.93,3.48,408
130,  Compressor 01  ,OPERANDO,56.53,3.74,346
131,Esteira 02  ,MANUTENÇÃO,77.58,2.26,14
132,  Bomba 02  ,Fora de operação,65.42,5.04,0
133,Motor 02 ,Manut.,55.89,3.61,18
134,  Robô 02  ,parado,62.78,4.1,0
135, Bomba 01,PARADO,69.95,4.84,0
136,Bomba 01 ,Manut.,55.13,1.93,17
137,Motor 01  ,Ligado,76.59,3.92,305
138, Robô 01,manutencao,56.08,3.34,14
139,Motor 01,Em operação,68.91,4.61,258
140,Robô 02 ,PARADO,60.93,2.8,0
141,Robô 01 ,Parado,65.38,2.34,0
142, Esteira 02,operando,65.91,2.24,370
143,  Robô 01  ,OPERANDO,71.12,4.63,250
144,Robô 02  ,Fora de operação,66.34,3.55,0
145,Esteira 01 ,Ligado,63.19,3.75,361
146, Robô 01,Em operação,69.25,3.19,254
147,  Motor 03  ,Em manutenção,67.06,2.63,0
148,Robô 02 ,PARADO,60.67,3.22,0
149,Motor 01 ,Em manutenção,54.12,3.36,12
150,Compressor 01,Fora de operação,65.4,2.86,0
151,Motor 03  ,Em operação,71.55,3.49,322
152,Bomba 02  ,Fora de operação,68.27,2.41,0
153,  Robô 01,PARADO,71.94,2.64,0
154,  Robô 02,Em operação,64.76,2.95,369
155, Motor 02,Manutenção,69.49,4.53,5
156, Esteira 01,Desligado,67.46,3.13,0
157,  Compressor 01  ,Fora de operação,65.23,3.15,0
158,  Esteira 02  ,Em operação,64.76,2.05,355
159,Esteira 01 ,MANUTENÇÃO,69.39,1.81,25
160,  Esteira 01,operando,57.28,2.7,412
161, Esteira 02,operando,78.56,3.75,332
162,Robô 02 ,PARADO,74.59,4.18,0
163,Bomba 02 ,Desligado,59.72,2.83,0
164,Robô 02,Manut.,61.38,3.47,8
165,Motor 01,Ligado,79.93,2.65,327
166,Robô 02,MANUTENÇÃO,64.4,2.4,1
167,  Motor 03,Desligado,57.96,1.29,0
168,Motor 03  ,parado,61.61,2.23,0
169,  Motor 02,Parado,61.83,3.58,0
170, Motor 02,Parado,60.04,3.72,0
171,Bomba 02  ,Operando,61.16,3.34,262
172,  Motor 02,Em manutenção,46.24,2.83,21
173,  Robô 01,parado,74.98,3.5,0
174,  Robô 02,Manutenção,64.87,3.22,8
175, Robô 01,Manut.,63.58,5.1,15
176,Motor 02,Manutenção,62.99,2.63,5
177,Esteira 02  ,Operando,64.07,2.96,395
178,  Motor 02,operando,64.57,2.64,418
179,Esteira 02  ,manutencao,65.05,4.98,15
180,  Esteira 01,Desligado,69.8,3.61,0
181,Robô 02  ,manutencao,77.15,1.73,8
182,Bomba 02 ,Manut.,68.3,2.33,0
183,  Esteira 02  ,Em operação,71.82,1.98,348
184, Compressor 01,PARADO,60.75,2.88,0
185,Robô 01  ,parado,61.07,3.34,0
186,  Esteira 01  ,Ligado,62.41,2.78,378
187,Bomba 02,Parado,66.64,1.54,0
188,  Bomba 02,Manutenção,69.68,1.7,4
189,Compressor 01,OPERANDO,57.65,3.08,402
190,  Motor 02,operando,59.37,2.92,364
191,  Motor 03,Em manutenção,64.72,2.62,15
192,Esteira 02 ,Fora de operação,63.43,1.74,0
193,  Bomba 01  ,Em manutenção,50.01,2.58,20
194,Compressor 01  ,Operando,63.21,2.61,355
195, Esteira 02,manutencao,83.34,4.59,24
196,  Motor 02,OPERANDO,61.78,1.07,191
197,Bomba 01,Em operação,62.32,3.92,242
198,  Robô 01,Fora de operação,65.17,2.53,0
199,Motor 03,Fora de operação,73.7,2.09,0
200,  Esteira 01,Manut.,62.59,2.74,20
201,  Esteira 02,Em operação,59.52,1.24,299
202,  Esteira 02  ,Desligado,71.13,4.0,0
203,Bomba 01  ,Em operação,62.27,2.29,244
204,Compressor 01 ,Ligado,80.72,3.09,207
205,  Esteira 01,Fora de operação,63.29,3.75,0
206,Esteira 02,Em manutenção,63.94,2.43,18
207,Motor 01  ,manutencao,51.84,3.14,9
208,Esteira 01  ,MANUTENÇÃO,61.03,4.24,19
209,  Esteira 02  ,MANUTENÇÃO,65.13,1.66,26
210,  Motor 03  ,operando,75.29,2.28,259
211,Compressor 01,Fora de operação,64.55,3.5,0
212,Esteira 02 ,manutencao,62.96,3.44,25
213,Robô 01 ,Desligado,61.42,3.09,0
214,Motor 03 ,Manut.,70.63,2.08,25
215,  Esteira 02  ,Em manutenção,65.17,3.52,30
216, Motor 02,MANUTENÇÃO,80.58,2.69,23
217,Bomba 02  ,Parado,72.91,3.64,0
218,Esteira 02  ,operando,56.96,3.52,352
219,Esteira 02  ,parado,74.3,0.97,0
220,  Motor 02  ,Ligado,57.42,3.35,323
221,Bomba 01  ,Ligado,61.04,1.96,298
222,  Esteira 02  ,parado,68.58,3.3,0
223,Motor 01 ,PARADO,70.82,3.59,0
224, Robô 01,parado,57.01,3.53,0
225,  Robô 01,Fora de operação,66.8,2.52,0
226,  Bomba 02  ,operando,71.86,1.9,420
227,Esteira 02,manutencao,61.79,3.89,30
228,Esteira 01 ,operando,73.65,2.99,410
229,Bomba 01,parado,64.02,5.69,0
230,Compressor 01,Manutenção,69.36,4.49,0
231,Motor 01 ,Ligado,79.28,2.98,232
232,Motor 02  ,Ligado,56.02,2.15,239
233, Bomba 01,MANUTENÇÃO,67.43,3.06,27
234, Motor 03,Desligado,66.98,3.72,0
235, Motor 01,Operando,59.24,4.47,330
236,Bomba 01,OPERANDO,66.65,3.62,287
237,Robô 01,manutencao,74.03,3.52,11
238,Robô 01  ,operando,62.27,3.31,337
239,  Motor 01  ,MANUTENÇÃO,75.63,2.3,9
240,  Compressor 01  ,Operando,74.42,3.53,282
241,  Bomba 02  ,operando,51.68,3.23,198
242,Motor 02 ,Fora de operação,69.17,3.52,0
243,  Robô 02  ,Fora de operação,61.08,2.83,0
244,Robô 02  ,Em operação,57.85,3.49,205
245,  Motor 02  ,Manutenção,73.37,2.22,27
246,  Esteira 01,PARADO,72.52,2.43,0
247,  Compressor 01,parado,66.23,2.24,0
248,  Bomba 01  ,Em operação,64.16,3.51,416
249,Compressor 01,operando,68.52,2.71,204
250, Bomba 01,Desligado,83.31,4.02,0
251,Robô 01 ,Manutenção,71.7,3.75,21
252,  Bomba 02  ,Operando,76.3,2.83,270
253,Motor 02  ,Desligado,69.37,4.52,0
254,Esteira 01,Parado,70.78,2.31,0
255,Esteira 02  ,Ligado,71.76,1.29,376
256,Robô 02  ,Manutenção,65.99,2.92,29
257,Esteira 02,OPERANDO,65.27,4.78,415
258,Bomba 01 ,Operando,68.63,3.61,348
259,Bomba 02,OPERANDO,65.94,0.43,203
260, Robô 01,parado,61.4,3.54,0
261,Bomba 01 ,manutencao,59.49,5.23,19
262,Motor 02,OPERANDO,72.34,4.26,352
263,Motor 02 ,PARADO,62.76,2.12,0
264,  Compressor 01,Em operação,68.8,4.27,268
265,Bomba 02,Em operação,62.91,1.89,314
266,Esteira 02,Ligado,59.51,3.93,181
267,Esteira 01 ,Ligado,68.29,1.41,254
268,Bomba 01,Operando,59.57,3.12,213
269,Bomba 02  ,manutencao,68.12,4.37,21
270,Bomba 01,parado,68.33,2.88,0
271,  Motor 01,Manut.,72.35,3.51,13
272,  Robô 02,manutencao,63.31,2.46,12
273,Motor 01 ,OPERANDO,70.08,1.78,392
274,Bomba 01,parado,69.92,2.48,0
275,  Robô 02,Desligado,79.46,4.06,0
276, Bomba 01,Parado,67.51,2.71,0
277,Motor 02  ,Desligado,71.18,4.72,0
278,  Bomba 01  ,Em manutenção,64.58,2.65,3
279,Motor 03 ,Ligado,68.86,3.61,374
280, Motor 02,MANUTENÇÃO,61.58,2.3,18
281,  Robô 02,Manutenção,75.02,2.51,20
282,Robô 02 ,Em manutenção,73.0,2.94,14
283,  Motor 02,PARADO,58.53,1.79,0
284,Robô 02,Parado,60.97,3.06,0
285,Compressor 01,Operando,63.09,3.7,345
286,Motor 02  ,Fora de operação,59.21,3.05,0
287,  Robô 01  ,Manut.,81.82,3.66,18
288,Esteira 01 ,Fora de operação,63.04,3.19,0
289,  Motor 01,operando,71.99,1.33,362
290,Motor 02  ,Manutenção,69.47,3.77,14
291,Compressor 01  ,Desligado,61.86,2.49,0
292,  Esteira 02,parado,68.62,1.61,0
293,  Motor 01  ,Manutenção,63.82,3.87,17
294,Bomba 02 ,Em operação,65.32,1.66,412
295, Robô 02,Parado,76.01,3.82,0
296,Bomba 01 ,Manutenção,64.78,2.15,19
297,Motor 02 ,Desligado,58.14,4.34,0
298,  Motor 03  ,manutencao,72.46,1.66,21
299,Robô 01,Manutenção,63.0,2.05,0
300,Bomba 01 ,OPERANDO,73.1,2.82,376
301, Compressor 01,Ligado,71.06,3.1,255
302,Motor 02  ,MANUTENÇÃO,55.89,2.69,16
303,  Motor 01  ,Parado,73.93,2.13,0
304,  Robô 02,OPERANDO,73.92,4.71,377
305, Robô 02,manutencao,60.34,3.49,21
306,  Esteira 01,Fora de operação,64.47,4.72,0
307, Compressor 01,Desligado,68.24,5.69,0
308, Compressor 01,Parado,63.04,1.93,0
309,  Compressor 01,MANUTENÇÃO,65.64,4.06,16
310, Bomba 02,Em manutenção,69.96,4.39,27
311,Esteira 02,Manutenção,60.31,3.22,29
312,  Motor 02  ,Em manutenção,63.41,3.05,2
313,Motor 03 ,PARADO,70.27,2.78,0
314,Bomba 02,Manut.,68.34,4.18,11
315,  Motor 01,Operando,61.61,3.69,278
316,Motor 02 ,Ligado,82.93,3.51,394
317, Bomba 01,OPERANDO,82.18,3.63,300
318,  Motor 03  ,PARADO,66.32,3.13,0
319,Motor 02,Em operação,67.85,3.66,420
320,Robô 02  ,parado,71.42,3.63,0
321,Esteira 02,Operando,67.73,4.52,339
322,Compressor 01,operando,71.27,2.09,317
323,  Motor 01  ,Desligado,57.07,2.38,0
324,  Esteira 02,Operando,63.1,2.61,286
325,  Motor 03  ,Manutenção,83.3,4.49,2
326,Robô 01  ,Desligado,68.89,1.94,0
327,  Motor 01,Em manutenção,57.23,3.37,11
328,  Esteira 02  ,Operando,65.37,3.39,241
329,Motor 02  ,manutencao,67.16,2.57,11
330,Robô 01 ,Em manutenção,58.77,1.63,21
331,  Compressor 01  ,PARADO,58.35,1.75,0
332,  Motor 02  ,MANUTENÇÃO,68.8,3.0,6
333, Motor 01,Manut.,82.73,3.71,16
334,Bomba 02  ,PARADO,66.76,4.77,0
335,Esteira 01 ,Parado,68.42,2.86,0
336,Bomba 01 ,operando,69.29,2.08,282
337,  Compressor 01,Parado,75.09,2.91,0
338,Compressor 01 ,Manut.,68.61,2.35,2
339,Bomba 02,parado,56.59,1.98,0
340,Robô 01 ,Parado,71.99,3.64,0
341,Esteira 02 ,PARADO,61.1,2.47,0
342,Compressor 01 ,PARADO,80.64,3.63,0
343,Bomba 01  ,parado,63.99,5.86,0
344,Motor 01,Manutenção,62.68,2.38,25
345,Motor 03,OPERANDO,73.12,1.87,292
346, Motor 01,operando,67.89,4.53,272
347,Bomba 02  ,Operando,58.66,2.18,274
348,  Bomba 01,MANUTENÇÃO,70.37,3.35,11
349,Bomba 02 ,Manutenção,63.81,5.6,0
350,  Motor 03,Desligado,60.18,3.94,0
351,Esteira 02 ,manutencao,44.86,4.21,9
352, Compressor 01,operando,68.81,3.4,224
353,Compressor 01,MANUTENÇÃO,61.39,1.34,10
354,  Bomba 01  ,operando,61.49,2.84,256
355,  Motor 03  ,manutencao,75.95,2.47,25
356,Bomba 01  ,Ligado,70.39,3.56,215
357,  Esteira 01,Operando,61.15,4.1,299
358, Robô 01,Fora de operação,68.93,2.85,0
359,  Bomba 02  ,manutencao,59.86,3.24,13
360,Robô 02,OPERANDO,76.89,2.85,295
361,  Compressor 01  ,Desligado,58.97,4.8,0
362,  Robô 01  ,Fora de operação,74.56,5.47,0
363,Bomba 02  ,Manut.,75.93,1.71,16
364,Motor 03 ,OPERANDO,75.59,5.09,237
365,Bomba 01  ,Manut.,66.4,3.5,6
366,Robô 01 ,OPERANDO,60.17,2.12,203
367,  Robô 01  ,OPERANDO,59.26,2.38,223
368,  Robô 02  ,Manut.,56.37,1.92,18
369,Motor 01,operando,76.62,3.5,327
370,  Esteira 02  ,Ligado,67.77,2.07,343
371,  Motor 01,Manut.,62.96,2.51,30
372,  Esteira 02,Ligado,70.58,1.67,256
373,Compressor 01,manutencao,74.01,3.5,15
374, Compressor 01,Parado,62.25,2.56,0
375,  Bomba 01  ,Em manutenção,63.02,3.93,24
376,Bomba 01  ,Desligado,71.09,3.56,0
377,Motor 02 ,PARADO,67.04,3.55,0
378,  Esteira 02,Em manutenção,63.04,2.6,27
379,Motor 03 ,Manut.,61.65,2.69,24
380,  Motor 03,Desligado,52.92,3.53,0
381,Compressor 01,operando,74.82,2.7,241
382,Esteira 01  ,Parado,72.43,3.34,0
383,  Robô 02  ,Manutenção,58.46,3.33,27
384,  Motor 02,OPERANDO,75.35,2.01,375
385,Bomba 02 ,Operando,59.62,3.86,229
386,Bomba 01  ,Em operação,74.42,3.63,375
387,Robô 01 ,Em manutenção,77.55,3.0,3
388,Motor 03,parado,52.61,5.2,0
389,Robô 01 ,MANUTENÇÃO,72.86,4.17,12
390,Robô 01,Operando,77.74,3.48,385
391,Compressor 01  ,PARADO,75.78,4.8,0
392,Motor 03 ,Manut.,63.84,2.71,19
393,Esteira 02  ,Parado,58.65,3.05,0
394,  Compressor 01  ,Fora de operação,63.04,4.85,0
395,Bomba 01 ,Manutenção,72.61,3.76,9
396,Motor 01  ,PARADO,66.0,4.55,0
397,Robô 02  ,Ligado,65.34,1.8,223
398,  Robô 01  ,manutencao,57.2,1.79,4
399,Esteira 01,Fora de operação,70.2,2.95,0
400,  Motor 01,Parado,60.7,3.6,0
401,  Esteira 01,Desligado,69.46,0.88,0
402,  Motor 01  ,OPERANDO,58.08,2.95,349
403,Compressor 01  ,parado,65.32,3.67,0
404,Robô 01 ,Desligado,59.67,4.46,0
405,Esteira 02  ,PARADO,68.87,3.8,0
406,Robô 01 ,Ligado,85.55,2.08,377
407,  Esteira 02  ,Ligado,64.03,2.02,302
408,Bomba 01  ,Manut.,77.26,2.46,9
409,Motor 02  ,Manutenção,52.66,2.53,12
410, Bomba 01,Em operação,83.85,3.75,200
411,  Bomba 01,Manutenção,66.68,4.24,6
412,Robô 01 ,Manut.,61.84,2.8,3
413,  Robô 02  ,Fora de operação,67.15,3.42,0
414, Robô 01,Manutenção,67.35,3.56,10
415,Compressor 01,Manutenção,67.09,3.0,17
416,  Motor 03,Manutenção,80.19,2.29,15
417,Esteira 01 ,Parado,66.46,3.44,0
418,  Motor 02  ,Fora de operação,68.28,4.73,0
419, Motor 01,parado,70.21,2.68,0
420,  Motor 01,MANUTENÇÃO,50.57,3.17,30
421,Esteira 02,Operando,64.15,4.4,417
422,Bomba 01 ,PARADO,75.74,3.01,0
423, Compressor 01,Em manutenção,61.41,3.08,25
424,Motor 02 ,OPERANDO,65.8,1.66,363
425,Motor 03,manutencao,63.95,3.81,21
426, Esteira 01,Fora de operação,76.23,1.42,0
427,Bomba 02  ,Parado,75.9,3.87,0
428, Motor 03,PARADO,64.64,3.78,0
429,  Esteira 02,Ligado,61.79,3.36,264
430,Esteira 02  ,manutencao,62.11,2.76,11
431,Esteira 01,Manutenção,71.41,3.68,12
432,  Robô 01  ,MANUTENÇÃO,65.69,3.56,29
433,Esteira 02 ,Fora de operação,70.2,5.57,0
434, Compressor 01,PARADO,66.86,1.74,0
435,  Bomba 02  ,Desligado,77.06,2.22,0
436, Esteira 01,Manutenção,67.42,1.07,2
437,  Robô 01,Desligado,66.19,2.71,0
438,Robô 02,Operando,74.18,1.2,231
439,Robô 02  ,OPERANDO,74.03,4.79,293
440,  Motor 02  ,Ligado,65.33,1.97,410
441,  Robô 01,MANUTENÇÃO,70.5,3.28,13
442,Compressor 01  ,Operando,57.24,2.56,258
443,  Motor 01,Em operação,71.7,1.59,328
444,Motor 02,parado,65.58,3.4,0
445,Motor 01,Manut.,61.33,3.24,5
446,  Motor 03  ,manutencao,62.55,2.27,28
447,  Bomba 02,Em manutenção,72.91,2.62,2
448, Robô 01,Manutenção,69.25,2.71,17
449,Bomba 02  ,OPERANDO,66.31,2.4,180
450,Motor 01 ,PARADO,62.94,1.99,0
451,  Robô 01,Em manutenção,67.99,4.2,4
452, Esteira 02,Manut.,75.44,1.9,1
453,Bomba 02  ,MANUTENÇÃO,80.52,2.28,7
454,Esteira 01,operando,60.68,2.49,352
455, Motor 01,manutencao,74.24,3.4,17
456,Esteira 01,OPERANDO,61.22,3.08,388
457,Robô 02 ,Fora de operação,58.46,2.24,0
458, Bomba 01,Em operação,81.54,1.06,313
459,  Esteira 01,Em operação,65.59,4.36,331
460,  Motor 03  ,Manutenção,59.65,3.62,11
461,Bomba 02  ,Parado,64.63,2.13,0
462,  Esteira 02,OPERANDO,67.22,1.97,397
463,Esteira 01 ,Em manutenção,63.66,1.35,29
464,Motor 01  ,parado,75.75,2.84,0
465,  Motor 03,Ligado,66.8,3.99,200
466,Compressor 01 ,operando,54.16,2.68,193
467,  Esteira 02,Manutenção,65.43,2.93,2
468,Esteira 01  ,manutencao,64.68,2.48,6
469,Bomba 01 ,Manut.,83.39,3.33,30
470,  Motor 02  ,MANUTENÇÃO,61.83,3.2,19
471,  Esteira 01,Manut.,67.41,3.98,9
472,  Bomba 02,Desligado,63.43,2.41,0
473,Bomba 01  ,Manut.,63.81,3.11,23
474,Compressor 01 ,Manut.,68.76,3.93,1
475, Robô 02,manutencao,70.31,3.72,29
476,Robô 02  ,manutencao,63.5,3.38,10
477,  Esteira 01,Fora de operação,71.12,2.08,0
478,Bomba 01 ,MANUTENÇÃO,74.93,0.75,20
479,  Compressor 01,OPERANDO,66.3,2.17,215
480,  Robô 01,OPERANDO,74.58,2.48,344
481,Motor 01  ,Operando,68.46,2.77,389
482,Motor 01,parado,73.42,4.17,0
483,  Motor 02  ,OPERANDO,75.3,3.17,275
484,Motor 01  ,Manutenção,62.16,1.9,15
485,Compressor 01,Operando,59.94,2.89,184
486,  Robô 01  ,Em operação,61.39,2.92,308
487, Bomba 02,operando,74.43,2.5,241
488,Esteira 01  ,Desligado,66.9,4.04,0
489,Bomba 02,Parado,74.51,2.82,0
490,  Esteira 01  ,Ligado,62.94,4.88,200
491,Motor 01,parado,60.56,3.97,0
492,  Motor 01  ,Operando,66.15,2.7,396
493,  Bomba 02  ,MANUTENÇÃO,57.59,5.5,3
494,Robô 01,Ligado,70.38,5.05,407
495,  Robô 02,Em operação,69.63,3.21,416
496,Esteira 02  ,Fora de operação,64.6,2.57,0
497,Bomba 01,Ligado,57.01,2.23,362
498,Bomba 02,Em operação,69.71,3.73,393
499,  Bomba 02  ,Manut.,60.33,2.85,23
500,  Motor 03  ,manutencao,77.2,3.88,11
501,Motor 01,parado,67.31,3.5,0
502,Robô 02  ,Fora de operação,57.39,4.14,0
503,  Motor 01  ,Em operação,68.6,2.03,238
504,Bomba 01  ,parado,57.39,3.73,0
505,Bomba 02,MANUTENÇÃO,57.8,1.89,22
506,Motor 02,Em operação,73.25,4.4,342
507,  Motor 03  ,parado,65.65,3.53,0
508,Motor 01 ,PARADO,63.46,3.71,0
509,Motor 03,OPERANDO,58.89,3.64,311
510,Bomba 02,Operando,74.52,3.78,332
511,Robô 02 ,Em manutenção,62.63,3.65,12
512,  Motor 02  ,Manut.,46.55,1.95,7
513,Robô 02  ,OPERANDO,65.31,2.54,248
514,Esteira 02 ,PARADO,69.58,3.58,0
515,  Esteira 02,Em operação,64.21,3.14,244
516,  Esteira 01  ,Manutenção,57.31,3.14,14
517, Motor 02,Em operação,74.02,3.14,395
518,  Robô 02,MANUTENÇÃO,71.89,2.28,13
519, Robô 02,Em operação,59.71,5.29,231
520,Compressor 01 ,OPERANDO,84.97,2.52,254
521,Compressor 01  ,MANUTENÇÃO,67.32,4.07,26
522,Bomba 02 ,operando,71.25,2.82,319
523,  Motor 03  ,MANUTENÇÃO,50.54,2.33,14
524,  Esteira 01,MANUTENÇÃO,64.24,4.58,26
525,  Bomba 02  ,PARADO,70.81,3.75,0
526,  Esteira 02  ,OPERANDO,64.32,1.38,198
527,Compressor 01  ,PARADO,59.48,2.49,0
528,Bomba 02  ,Operando,68.67,2.19,409
529,Robô 01  ,Manutenção,69.89,2.85,7
530, Bomba 01,Manutenção,60.16,2.26,20
531,Bomba 02 ,MANUTENÇÃO,66.08,3.16,8
532,Esteira 01  ,manutencao,57.84,2.94,18
533,  Esteira 01,Parado,57.67,4.19,0
534,  Robô 02  ,Desligado,81.25,5.93,0
535,Compressor 01,Em operação,51.55,4.39,209
536,Motor 03 ,Em operação,60.23,4.56,313
537,Compressor 01 ,PARADO,76.16,4.02,0
538,Compressor 01 ,operando,63.04,4.83,209
539,Motor 01 ,Manutenção,76.71,4.24,29
540,Esteira 01  ,OPERANDO,61.05,2.81,289
541, Compressor 01,MANUTENÇÃO,63.3,3.46,20
542,  Bomba 02,Operando,65.85,1.03,295
543,  Robô 02,parado,71.87,3.12,0
544,  Esteira 02  ,MANUTENÇÃO,69.62,1.84,25
545, Robô 01,Parado,63.44,4.08,0
546,  Esteira 02  ,Em manutenção,48.84,3.27,10
